algorithm,size,time
qs3,2500,0.005733013153076172
qs3,2500,0.005516767501831055
qs3,2500,0.005712985992431641
qs3,2500,0.005549907684326172
qs3,2500,0.005707979202270508
qs3,2500,0.005671024322509766
qs3,2500,0.005628824234008789
qs3,2500,0.005536079406738281
qs3,2500,0.00564885139465332
qs3,2500,0.005837678909301758
qs3,2500,0.005551815032958984
qs3,2500,0.0057108402252197266
qs3,2500,0.0059888362884521484
qs3,2500,0.0057871341705322266
qs3,2500,0.005688190460205078
qs3,2500,0.005562782287597656
qs3,2500,0.007117271423339844
qs3,2500,0.006104946136474609
qs3,2500,0.006064891815185547
qs3,2500,0.005728006362915039
qs3,2500,0.00557708740234375
qs3,2500,0.00667881965637207
qs3,2500,0.008282184600830078
qs4,2500,0.0060977935791015625
qs4,2500,0.006144046783447266
qs4,2500,0.006256103515625
qs4,2500,0.0061740875244140625
qs4,2500,0.00651097297668457
qs4,2500,0.006785154342651367
qs4,2500,0.006201028823852539
qs4,2500,0.005901813507080078
qs4,2500,0.006220817565917969
qs4,2500,0.006092071533203125
qs4,2500,0.006254673004150391
qs4,2500,0.005944728851318359
qs4,2500,0.006411075592041016
qs4,2500,0.005833148956298828
qs4,2500,0.006249904632568359
qs4,2500,0.006600141525268555
qs4,2500,0.006548881530761719
qs4,2500,0.0064051151275634766
qs4,2500,0.006345987319946289
qs4,2500,0.005711793899536133
qs4,2500,0.005981922149658203
qs4,2500,0.006658077239990234
qs4,2500,0.0057637691497802734
qs4,2500,0.006197214126586914
qs4,2500,0.005883932113647461
qs4,2500,0.006345987319946289
qs4,2500,0.006254673004150391
qs4,2500,0.006054878234863281
qs4,2500,0.0068416595458984375
qs4,2500,0.006090879440307617
qs4,2500,0.005960226058959961
qs4,2500,0.0072269439697265625
qs4,2500,0.006479978561401367
qs4,2500,0.0068018436431884766
qs4,2500,0.0066030025482177734
qs4,2500,0.006014823913574219
qs4,2500,0.0063478946685791016
qs4,2500,0.008404016494750977
qs4,2500,0.006005048751831055
qs4,2500,0.005680084228515625
qs4,2500,0.006145954132080078
qs4,2500,0.0060079097747802734
qs4,2500,0.0060329437255859375
qs4,2500,0.005923032760620117
qs4,2500,0.006459236145019531
qs4,2500,0.0064890384674072266
qs4,2500,0.006007194519042969
qs4,2500,0.006103038787841797
qs4,2500,0.006129026412963867
qs4,2500,0.006022930145263672
qs4,2500,0.006192922592163086
qs4,2500,0.005801200866699219
qs4,2500,0.0060312747955322266
qs4,2500,0.0061092376708984375
qs4,2500,0.005830049514770508
qs4,2500,0.0057392120361328125
qs4,2500,0.006189107894897461
qs4,2500,0.005833864212036133
qs4,2500,0.006512880325317383
qs4,2500,0.0059337615966796875
qs4,2500,0.006075143814086914
qs4,2500,0.005998134613037109
qs4,2500,0.006081104278564453
qs4,2500,0.005836963653564453
qs4,2500,0.006031990051269531
qs4,2500,0.006532192230224609
qs4,2500,0.006552219390869141
qs4,2500,0.0064849853515625
qs4,2500,0.006671905517578125
qs4,2500,0.008244991302490234
qs4,2500,0.006637096405029297
qs4,2500,0.006725788116455078
qs4,2500,0.006615877151489258
qs4,2500,0.006439924240112305
qs4,2500,0.007936954498291016
qs4,2500,0.0075070858001708984
qs4,2500,0.0059168338775634766
qs4,2500,0.006247043609619141
qs4,2500,0.006027936935424805
qs4,2500,0.005861043930053711
qs4,2500,0.006821870803833008
qs4,2500,0.0065500736236572266
qs4,2500,0.006345033645629883
qs4,2500,0.006121158599853516
qs4,2500,0.006213188171386719
qs4,2500,0.00605010986328125
qs4,2500,0.006061077117919922
qs4,2500,0.006543874740600586
qs4,2500,0.006060123443603516
qs4,2500,0.006134986877441406
qs4,2500,0.005768299102783203
qs4,2500,0.006028652191162109
qs4,2500,0.005889177322387695
qs4,2500,0.0059778690338134766
qs4,2500,0.006062746047973633
qs4,2500,0.00592803955078125
qs4,2500,0.005877017974853516
qs4,2500,0.006268739700317383
qs4,2500,0.00563502311706543
qs4,2500,0.006154060363769531
qs5,2500,0.005616188049316406
qs5,2500,0.005815029144287109
qs5,2500,0.005815029144287109
qs5,2500,0.005669116973876953
qs5,2500,0.0056612491607666016
qs5,2500,0.005597829818725586
qs5,2500,0.0057888031005859375
qs5,2500,0.0056476593017578125
qs5,2500,0.0057108402252197266
qs5,2500,0.0068590641021728516
qs5,2500,0.0062541961669921875
qs5,2500,0.006274223327636719
qs5,2500,0.005935192108154297
qs5,2500,0.005816221237182617
qs5,2500,0.0065021514892578125
qs5,2500,0.008416175842285156
qs5,2500,0.005612850189208984
qs5,2500,0.005602121353149414
qs5,2500,0.0057239532470703125
qs5,2500,0.00574803352355957
qs5,2500,0.005877971649169922
qs5,2500,0.0056760311126708984
qs5,2500,0.005779266357421875
qs5,2500,0.0059452056884765625
qs5,2500,0.005692243576049805
qs5,2500,0.0056231021881103516
qs5,2500,0.005705118179321289
qs5,2500,0.005754709243774414
qs5,2500,0.005824089050292969
qs5,2500,0.005676746368408203
qs5,2500,0.005825042724609375
qs5,2500,0.005601167678833008
qs5,2500,0.0057048797607421875
qs5,2500,0.00561213493347168
qs5,2500,0.0057141780853271484
qs5,2500,0.005777120590209961
qs5,2500,0.0056188106536865234
qs5,2500,0.005855083465576172
qs5,2500,0.005769014358520508
qs5,2500,0.00576019287109375
qs5,2500,0.005675792694091797
qs5,2500,0.005776166915893555
qs5,2500,0.005951881408691406
qs5,2500,0.0056841373443603516
qs5,2500,0.005618095397949219
qs5,2500,0.006079912185668945
qs5,2500,0.005651950836181641
qs5,2500,0.005831003189086914
qs5,2500,0.005645036697387695
qs5,2500,0.005659818649291992
qs5,2500,0.0066869258880615234
qs5,2500,0.006336688995361328
qs5,2500,0.0060040950775146484
qs5,2500,0.0059070587158203125
qs5,2500,0.006181001663208008
